"Public Food Key","Classification","Food Name","Energy with dietary fibre, equated  (kJ)","Energy, without dietary fibre, equated  (kJ)","Moisture (water)  (g)","Protein  (g)","Nitrogen  (g)","Fat, total  (g)","Ash  (g)","Total dietary fibre  (g)","Alcohol  (g)","Fructose  (g)","Glucose  (g)","Sucrose (g)","Maltose  (g)","Lactose  (g)","Galactose  (g)","Maltotrios  (g)","Total sugars (g)","Added sugars (g)","Free sugars  (g)","Starch  (g)","Dextrin  (g)","Glycerol  (g)","Glycogen  (g)","Inulin  (g)","Erythritol  (g)","Maltitol  (g)","Mannitol  (g)","Xylitol  (g)","Maltodextrin (g)","Oligosaccharides   (g)","Polydextrose  (g)","Raffinose  (g)","Stachyose  (g)","Sorbitol  (g)","Resistant starch  (g)","Available carbohydrate, without sugar alcohols  (g)","Available carbohydrate, with sugar alcohols  (g)","Acetic acid  (g)","Citric acid  (g)","Fumaric acid  (g)","Lactic acid  (g)","Malic acid  (g)","Oxalic acid  (g)","Propionic acid  (g)","Quinic acid  (g)","Shikimic acid  (g)","Succinic acid  (g)","Tartaric acid  (g)","Aluminium (Al)  (ug)","Antimony (Sb)  (ug)","Arsenic (As)  (ug)","Cadmium (Cd)  (ug)","Calcium (Ca)  (mg)","Chromium (Cr)  (ug)","Chloride (Cl)  (mg)","Cobalt (Co)  (ug)","Copper (Cu)  (mg)","Fluoride (F)  (ug)","Iodine (I)  (ug)","Iron (Fe)  (mg)","Lead (Pb)  (ug)","Magnesium (Mg)  (mg)","Manganese (Mn)  (mg)","Mercury (Hg)  (ug)","Molybdenum (Mo)  (ug)","Nickel (Ni)  (ug)","Phosphorus (P)  (mg)","Potassium (K)  (mg)","Selenium (Se)  (ug)","Sodium (Na)  (mg)","Sulphur (S)  (mg)","Tin (Sn)  (ug)","Zinc (Zn)  (mg)","Retinol (preformed vitamin A)  (ug)","Alpha-carotene  (ug)","Beta-carotene  (ug)","Cryptoxanthin  (ug)","Beta-carotene equivalents (provitamin A)  (ug)","Vitamin A retinol equivalents  (ug)","Lutein  (ug)","Lycopene  (ug)","Xanthophyl  (ug)","Thiamin (B1)  (mg)","Riboflavin (B2)  (mg)","Niacin (B3)  (mg)","Niacin derived from tryptophan  (mg)","Niacin derived equivalents  (mg)","Pantothenic acid (B5)  (mg)","Pyridoxine (B6)  (mg)","Biotin (B7)  (ug)","Cobalamin (B12)  (ug)","Folate, natural  (ug)","Folic acid  (ug)","Total folates  (ug)","Dietary folate equivalents  (ug)","Vitamin C  (mg)","Cholecalciferol (D3)  (ug)","Ergocalciferol (D2)  (ug)","25-hydroxy cholecalciferol (25-OH D3)  (ug)","25-hydroxy ergocalciferol (25-OH D2)  (ug)","Vitamin D3 equivalents  (ug)","Alpha tocopherol  (mg)","Alpha tocotrienol  (mg)","Beta tocopherol  (mg)","Beta tocotrienol  (mg)","Delta tocopherol  (mg)","Delta tocotrienol  (mg)","Gamma tocopherol  (mg)","Gamma tocotrienol  (mg)","Vitamin E  (mg)","C4 (%T)","C6 (%T)","C8 (%T)","C10 (%T)","C11 (%T)","C12 (%T)","C13 (%T)","C14 (%T)","C15 (%T)","C16 (%T)","C17 (%T)","C18 (%T)","C19 (%T)","C20 (%T)","C21 (%T)","C22 (%T)","C23 (%T)","C24 (%T)","Total saturated fatty acids, equated (%T)","C10:1 (%T)","C12:1 (%T)","C14:1 (%T)","C15:1 (%T)","C16:1 (%T)","C17:1 (%T)","C18:1 (%T)","C18:1w5 (%T)","C18:1w6 (%T)","C18:1w7 (%T)","C18:1w9 (%T)","C20:1 (%T)","C20:1w9 (%T)","C20:1w13 (%T)","C20:1w11 (%T)","C22:1 (%T)","C22:1w9 (%T)","C22:1w11 (%T)","C24:1 (%T)","C24:1w9 (%T)","C24:1w11 (%T)","C24:1w13 (%T)","Total monounsaturated fatty acids, equated (%T)","C12:2 (%T)","C16:2w4 (%T)","C16:3 (%T)","C18:2w6 (%T)","C18:3w3 (%T)","C18:3w4 (%T)","C18:3w6 (%T)","C18:4w1 (%T)","C18:4w3 (%T)","C20:2 (%T)","C20:2w6 (%T)","C20:3 (%T)","C20:4 (%T)","C20:3w3 (%T)","C20:3w6 (%T)","C20:4w3 (%T)","C20:4w6 (%T)","C20:5w3 (%T)","C21:5w3 (%T)","C22:2 (%T)","C22:2w6 (%T)","C22:4w6 (%T)","C22:5w3 (%T)","C22:5w6 (%T)","C22:6w3 (%T)","Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated  (%T)","Total undifferentiated fatty acids  (%T)","Total trans fatty acids, imputed  (%T)","C4 (g)","C6 (g)","C8 (g)","C10 (g)","C11 (g)","C12 (g)","C13 (g)","C14 (g)","C15 (g)","C16 (g)","C17 (g)","C18 (g)","C19 (g)","C20 (g)","C21 (g)","C22 (g)","C23 (g)","C24 (g)","Total saturated fatty acids, equated  (g)","C10:1 (g)","C12:1 (g)","C14:1 (g)","C15:1 (g)","C16:1 (g)","C17:1 (g)","C18:1 (g)","C18:1w5 (mg)","C18:1w6 (mg)","C18:1w7 (g)","C18:1w9 (mg)","C20:1 (g)","C20:1w9 (mg)","C20:1w13 (mg)","C20:1w11 (mg)","C22:1 (g)","C22:1w9 (mg)","C22:1w11 (mg)","C24:1 (g)","C24:1w9 (mg)","C24:1w11 (mg)","C24:1w13 (mg)","Total monounsaturated fatty acids, equated  (g)","C12:2 (g)","C16:2w4 (mg)","C16:3 (g)","C18:2w6 (g)","C18:3w3 (g)","C18:3w4 (g)","C18:3w6 (mg)","C18:4w1 (g)","C18:4w3 (mg)","C20:2 (mg)","C20:2w6 (mg)","C20:3 (mg)","C20:3w3 (mg)","C20:3w6 (mg)","C20:4 (g)","C20:4w3 (mg)","C20:4w6 (mg)","C20:5w3 (mg)","C21:5w3 (g)","C22:5w3 (mg)","C22:4w6 (mg)","C22:2 (g)","C22:2w6 (mg)","C22:5w6 (g)","C22:6w3 (mg)","Total polyunsaturated fatty acids, equated  (g)","Total long chain omega 3 fatty acids, equated  (mg)","Total undifferentiated fatty acids, mass basis basis  (mg)","Total trans fatty acids, imputed  (mg)","Caffeine  (mg)","Cholesterol  (mg)","Alanine  (mg/gN)","Arginine  (mg/gN)","Aspartic acid  (mg/gN)","Cystine plus cysteine  (mg/gN)","Glutamic acid  (mg/gN)","Glycine  (mg/gN)","Histidine  (mg/gN)","Isoleucine  (mg/gN)","Leucine  (mg/gN)","Lysine  (mg/gN)","Methionine  (mg/gN)","Phenylalanine  (mg/gN)","Proline  (mg/gN)","Serine  (mg/gN)","Threonine  (mg/gN)","Tyrosine  (mg/gN)","Tryptophan  (mg/gN)","Valine  (mg/gN)","Alanine  (mg)","Arginine  (mg)","Aspartic acid  (mg)","Cystine plus cysteine  (mg)","Glutamic acid  (mg)","Glycine  (mg)","Histidine  (mg)","Isoleucine  (mg)","Leucine  (mg)","Lysine  (mg)","Methionine  (mg)","Phenylalanine  (mg)","Proline  (mg)","Serine  (mg)","Threonine  (mg)","Tyrosine  (mg)","Tryptophan  (mg)","Valine  (mg)"
"F001168","13106","Biscuit, sweet, biscuit base, mint filling, chocolate-coated","2188","2183","2.6","6.3","0.94","29.4","1.2","0.6","0","1","1.2","36.6","0","3.4","nan","nan","42","36.4","36.4","18.6","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","60.6","60.6","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","135","nan","nan","nan","0.2","nan","0","1.75","nan","28","0.43","nan","nan","nan","144","234","11.1","117","nan","nan","0.85","18","0","17","0","17","21","nan","nan","nan","0.05","0.16","0.7","0.94","1.64","nan","0.04","nan","0","14","0","14","14","0","0","0","0","0","0","3.9","nan","nan","nan","nan","nan","nan","nan","3.9","0","0","0","0.1","nan","0.4","0","1.3","0.1","37","0.2","15.2","0","0.6","nan","0.1","nan","0","55.06","nan","nan","0","0","0.4","0","35.2","nan","nan","nan","nan","0.1","nan","nan","nan","0","nan","nan","0","nan","nan","nan","35.72","nan","nan","nan","7.6","0.3","nan","0","nan","0","nan","0","nan","nan","0","0","nan","0","0","nan","nan","0","0","0","nan","0","7.88","0","nan","1","0","0","0.01","0.03","nan","0.11","0","0.37","0.02","10.35","0.06","4.24","0","0.17","nan","0.03","nan","0.01","15.39","nan","nan","0.01","0","0.1","0.01","9.84","nan","nan","nan","nan","0.03","nan","nan","nan","0","nan","nan","0","nan","nan","nan","9.98","nan","nan","nan","2.12","0.08","nan","6.99","nan","0","nan","0","nan","0","0","nan","nan","0","0","nan","0","0","nan","0","nan","0","2.2","0","nan","276.76","8","14","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","55","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","55","nan"
"F001234","13106","Biscuit, sweet, sandwich, cream filling, chocolate-coated, tim tam style","2080","2060","1.2","5.4","0.86","25.4","1.2","2.2","0","0.4","0.6","39","0","4.7","nan","nan","44.7","40","40","18.4","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0.3","63.1","63.1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","260","nan","0","1.8","90","49","nan","nan","0.15","nan","4.3","1.7","0","34","0.41","nan","9.2","nan","120","240","5.1","168","nan","nan","0.62","21","0","0","0","0","21","nan","nan","nan","0.07","0.18","0","0.95","0.95","0.29","0","nan","0","0","0","0","0","0","0","0","0","0","0","1.5","nan","0","nan","0","nan","1.5","nan","1.65","0.2","0.2","0.6","0.7","nan","3.7","0","3.1","0.1","33.8","0.2","16.3","0","0.6","nan","0.1","nan","0","59.58","nan","nan","0","0","0.5","0","31.1","nan","nan","nan","nan","0.1","nan","nan","nan","0","nan","nan","0","nan","nan","nan","31.63","nan","nan","nan","6.9","0.4","nan","0.1","nan","0","nan","0","nan","nan","0","0","nan","0","0","nan","nan","0","0","0","nan","0","7.36","0","nan","1","0.04","0.05","0.14","0.16","nan","0.89","0","0.74","0.02","8.17","0.04","3.94","0","0.15","nan","0.02","nan","0","14.38","nan","nan","0.01","0","0.11","0","7.5","nan","nan","nan","nan","0.01","nan","nan","nan","0","nan","nan","0","nan","nan","nan","7.63","nan","nan","nan","1.66","0.09","nan","24.14","nan","0","nan","0","nan","0","0","nan","nan","0","0","nan","0","0","nan","0","nan","0","1.78","0","nan","236.55","7","10","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","65","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","56","nan"
"F001233","13104","Biscuit, sweet, sandwich, cream & jam filling","1974","1957","5","4","0.68","22.5","0.4","1.8","0","2.3","2.7","28","0.1","0.4","nan","nan","33.5","32.5","32.6","30.6","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0.3","64.1","64.1","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","27","nan","nan","nan","0.09","nan","0","0.9","nan","14","0.52","nan","nan","nan","66","85","11.1","260","nan","nan","0.45","0","0","14","0","14","2","nan","nan","nan","0.02","0","1.6","0.59","2.19","nan","0.04","nan","0.1","28","0","28","28","0","0","0","0","0","0","3.9","nan","nan","nan","nan","nan","nan","nan","3.9","0","0","0.3","0.2","nan","1.9","nan","1.7","0","43.3","0.1","4.7","nan","0.4","nan","0","nan","0","52.6","nan","nan","0","nan","0.2","0","36.2","nan","nan","nan","nan","0.1","nan","nan","nan","0","nan","nan","0","nan","nan","nan","36.5","nan","nan","nan","9.1","0.4","nan","0","nan","nan","nan","nan","nan","nan","0","nan","nan","0","0","nan","nan","nan","0","0","nan","0","9.5","0","nan","1.3","0","0","0.06","0.04","nan","0.41","nan","0.36","0","9.26","0.02","1","nan","0.08","nan","0","nan","0","11.24","nan","nan","0","nan","0.04","0","7.74","nan","nan","nan","nan","0.02","nan","nan","nan","0","nan","nan","0","nan","nan","nan","7.8","nan","nan","nan","1.94","0.08","nan","0","nan","nan","nan","nan","nan","0","nan","nan","nan","0","0","nan","0","0","nan","nan","nan","0","2.03","0","nan","277.88","0","24","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","54","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","34","nan"
"F001251","13101","Biscuit, sweet, wheatmeal","1728","1683","3","7.8","1.21","11.7","1.1","5.6","0","0.3","0.3","20.8","0","0","nan","nan","21.6","21.3","21.3","45.4","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","67","67","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","30","1.5","nan","nan","0.19","nan","6.8","2.1","nan","46","1.54","nan","11.7","11","174","167","11.1","423","nan","nan","1.15","9","0","9","0","9","10","nan","nan","nan","0.12","0.02","3.2","1.15","4.35","nan","0.04","nan","0.1","28","0","28","28","0","0","0","0","0","0","3.9","nan","nan","nan","nan","nan","nan","nan","3.9","0","0","0","0","nan","0","nan","0.5","0","6.9","0.1","2.9","nan","0.6","nan","0.3","nan","0.2","11.5","nan","nan","0","nan","0.7","0","57.9","nan","nan","nan","nan","2","nan","nan","nan","0.1","nan","nan","0.3","nan","nan","nan","61","nan","nan","nan","16.2","5.7","nan","0","nan","nan","nan","0.1","nan","nan","0.1","0","nan","0.1","0.8","nan","nan","0","0","0.2","nan","0","23.15","0.95","nan","1.2","0","0","0","0","nan","0","nan","0.06","0","0.77","0.01","0.32","nan","0.07","nan","0.03","nan","0.02","1.28","nan","nan","0","nan","0.08","0","6.44","nan","nan","nan","nan","0.22","nan","nan","nan","0.01","nan","nan","0.03","nan","nan","nan","6.78","nan","nan","nan","1.8","0.63","nan","0","nan","nan","nan","11.12","nan","11.12","0","nan","nan","11.12","88.92","nan","16.67","0","nan","0","nan","0","2.57","105.592","nan","130.04","0","18","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","54","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","68","nan"
"F003095","13101","Cone, wafer style, for ice cream","1474","1448","8.5","7.9","1.39","2.3","0.7","3.2","0","0","0","0.3","0","0","nan","nan","0.3","0","0","72","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","72.3","72.3","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","26","nan","230","nan","8.7","90","5","2.2","nan","26","0.92","nan","nan","nan","139","137","11","327","100","nan","0.5","0","0","6","0","6","1","nan","nan","nan","0.02","0.02","2.1","1.71","3.81","0.02","0.07","2.8","0","5","0","5","5","0","0","0","0","0","0","0.6","nan","nan","nan","nan","nan","nan","nan","0.59","0","0","0","0","nan","0","nan","0.6","0","23.8","0","2.1","nan","0","nan","0.4","nan","0","26.9","nan","nan","0","0","0","0","14.3","nan","nan","nan","nan","0","nan","nan","nan","0.4","nan","nan","nan","nan","nan","nan","14.7","nan","nan","nan","48.3","10.1","nan","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","0","0","nan","nan","nan","nan","0","nan","0","58.4","0","nan","0.9","0","0","0","0","nan","0","nan","0.01","0","0.37","0","0.03","nan","0","nan","0.01","nan","0","0.41","nan","nan","0","0","0","0","0.22","nan","nan","nan","nan","0","nan","nan","nan","0.01","nan","nan","nan","nan","nan","nan","0.23","nan","nan","nan","0.74","0.16","nan","nan","nan","nan","nan","nan","nan","0","nan","nan","nan","0","0","nan","0","nan","nan","nan","nan","0","0.9","0","nan","13.56","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","72","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","101","nan"
"F001683","12201","Breadcrumbs, white","1598","1550","7.3","14","2.45","4.1","2.6","4.7","0","0.5","0","0","4.1","0","0","nan","4.6","0","0","63.8","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","68.5","68.5","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","124","nan","nan","nan","nan","nan","86.2","2","nan","43","nan","nan","nan","nan","142","193","15.8","650","nan","nan","1.2","0","nan","0","nan","0","0","nan","nan","nan","0.768","0.063","3.92","2.3","6.21","nan","0.11","nan","0.1","13","261","274","449","0","0","0","0","0","0","0.5","nan","nan","nan","nan","nan","nan","nan","0.49","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0","0","0","nan","0","nan","0","0","0.37","0","0.11","nan","0.01","nan","0.01","nan","0","0.5","nan","nan","0","nan","0.01","0","1.63","nan","nan","nan","nan","0.07","nan","nan","nan","0","nan","nan","0.01","nan","nan","nan","1.72","nan","nan","nan","1.23","0.24","nan","0","nan","nan","nan","1.3","nan","0","0","nan","nan","0","0","nan","0","0","nan","nan","nan","0","1.47","0","nan","39.44","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","135","nan"
"F001353","12201","Bread roll, from white flour","1044","1020","34.4","9.3","1.63","2.9","1.8","3","0","0.5","0.3","0","2.6","0","0","nan","3.4","0","0","41.2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","44.6","44.6","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","170","nan","0","nan","107","3.6","910","nan","0.146","0","48","1.26","0","29","0.902","nan","18","nan","100","137","11","380","90","nan","0.82","0","0","0","0","0","0","nan","nan","nan","0.391","0.041","2.57","2.47","5.04","1.12","0.06","6.2","0","11","228","239","392","0","0","0","0","0","0","1","0","0","0.5","0","0","0.2","0","1.02","0","0","0","0.1","nan","0","nan","0.2","0","13.7","0.1","3.6","nan","0.3","nan","0.1","nan","0","18.2","nan","nan","0","nan","0.4","0","33.4","nan","nan","nan","nan","0.6","nan","nan","nan","0","nan","0","0","nan","nan","nan","34.4","nan","nan","nan","40.7","5.6","nan","0","nan","0","nan","0","nan","nan","0","0","nan","0","0","nan","nan","0","0","0","nan","0","46.3","0","nan","0.6","0","0","0","0","nan","0","nan","0.01","0","0.35","0","0.09","nan","0.01","nan","0","nan","0","0.47","nan","nan","0","nan","0.01","0","0.86","nan","nan","nan","nan","0.02","nan","nan","nan","0","nan","0","0","nan","nan","nan","0.89","nan","nan","nan","1.05","0.14","nan","0","nan","0","nan","0","nan","0","0","nan","nan","0","0","nan","0","0","nan","0","nan","0","1.2","0","nan","15.74","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","89","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","145","nan"
"F001415","12302","Bread, wrap, white, commercial","1266","1234","31","7.8","1.36","8.4","2.2","3","0","0","0","1","4.3","0","nan","nan","5.3","0","0","41.6","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0.9","46.9","46.9","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","2900","nan","1.2","0","39","11","nan","nan","0.12","nan","45","0.95","0","24","0.62","nan","13","nan","210","150","11","610","nan","nan","0.46","0","nan","0","nan","0","0","nan","nan","nan","0.606","0","0","1.34","1.34","0.13","0","nan","0","8","154","162","265","0","0","0","0","0","0","0.3","nan","0","nan","0","nan","0","nan","0.3","0","0","0","0","nan","0.1","nan","1","0","41.8","0.1","6","nan","0.3","nan","0.2","nan","0.1","49.6","nan","nan","0","nan","0.1","0","32.4","nan","nan","nan","nan","0.2","nan","nan","nan","0","nan","nan","0","nan","nan","nan","32.7","nan","nan","nan","15.3","0.6","nan","0","nan","nan","nan","0","nan","nan","0","0","nan","0","0","nan","nan","0","0","0","nan","0","15.9","0","nan","0.6","0","0","0","0","nan","0.01","nan","0.07","0","3.12","0.01","0.45","nan","0.02","nan","0.01","nan","0.01","3.71","nan","nan","0","nan","0.01","0","2.42","nan","nan","nan","nan","0.01","nan","nan","nan","0","nan","nan","0","nan","nan","nan","2.44","nan","nan","nan","1.14","0.04","nan","0","nan","nan","nan","0","nan","0","0","nan","nan","0","0","nan","0","0","nan","0","nan","0","1.19","0","nan","44.86","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","58","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","79","nan"
"F001537","12201","Bread, from white flour, sour dough, commercial","961","936","38.8","8.8","1.5","1.4","1.6","3.1","0","0","0","0","1.2","0","nan","nan","1.2","0","0","41.7","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","42.9","42.9","0","0","nan","0.4","0","nan","0","0","nan","nan","nan","240","nan","1","nan","21","nan","nan","nan","0.15","nan","59","1.1","0","31","0.74","nan","11","nan","80","130","16","490","nan","nan","0.65","0","nan","0","nan","0","0","nan","nan","nan","0.71","0.04","1.3","2.44","3.74","0.13","0.08","nan","0","8","177","186","304","0","0","0","0","0","0","0","nan","0","nan","0","nan","0","nan","0","0","2.4","0.4","0.3","nan","0.2","nan","0.3","0.2","28.3","0.2","3.3","nan","0.3","nan","0.3","nan","0","36.2","nan","nan","0","nan","0.8","0","33","nan","nan","nan","nan","1","nan","nan","nan","0","nan","0","0","nan","nan","nan","34.8","nan","nan","nan","24.9","0.8","nan","0","nan","0","nan","0.6","nan","nan","0","0","nan","0","0","nan","nan","0","0","0","nan","0","26.3","0","nan","0.5","0","0.03","0","0","nan","0","nan","0","0","0.35","0","0.04","nan","0","nan","0","nan","0","0.45","nan","nan","0","nan","0.01","0","0.41","nan","nan","nan","nan","0.01","nan","nan","nan","0","nan","0","0","nan","nan","nan","0.43","nan","nan","nan","0.31","0.01","nan","0","nan","0","nan","7.48","nan","0","0","nan","nan","0","0","nan","0","0","nan","0","nan","0","0.33","0","nan","6.23","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","93","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","143","nan"
"F001538","12201","Bread, from white flour, sour dough, commercial, toasted","1144","1114","27.1","10.4","1.78","1.7","1.9","3.7","0","0","0","0","1.4","0","nan","nan","1.4","0","0","49.6","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","51.1","51.1","0.1","0","nan","0.5","0","nan","0","0","nan","nan","nan","285.7","nan","1.2","nan","25","nan","nan","nan","0.178","nan","66.7","1.31","0","37","0.881","nan","13.1","nan","95","155","19","583","nan","nan","0.77","0","nan","0","nan","0","0","nan","nan","nan","0.676","0.048","1.55","2.9","4.45","0.15","0.1","nan","0","8","179","188","308","0","0","0","0","0","0","0","nan","0","nan","0","nan","0","nan","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0","0.04","0","0","nan","0","nan","0","0","0.42","0","0.05","nan","0","nan","0","nan","0","0.54","nan","nan","0","nan","0.01","0","0.49","nan","nan","nan","nan","0.01","nan","nan","nan","0","nan","0","0","nan","nan","nan","0.52","nan","nan","nan","0.37","0.01","nan","0","nan","0","nan","8.9","nan","0","0","nan","nan","0","0","nan","0","0","nan","0","nan","0","0.39","0","nan","7.42","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","170","nan"
"F001553","12207","Bread, from wholemeal flour","993","930","39.2","10.4","1.8","2.5","2","6.9","0","0.4","0.1","0","2.6","0","0","nan","3.2","0","0","36","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","0.9","39.2","39.2","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","234","0","1.2","0.4","133","12","806","nan","0.217","14","61.9","1.97","0.2","63","1.727","0.2","19.1","25","156","212","12.3","418","120","0.6","1.24","0","0","0","0","0","0","nan","nan","nan","0.553","0.07","3.43","1.32","4.75","0.84","0.08","7.8","0","18","177","194","313","0","0","0","0","0","0","0.2","0.9","0","0.5","0","0","0.3","0","0.2","0","0","0","0","nan","0.1","nan","0.2","0","13.3","0","3.6","nan","0.2","nan","0.2","nan","0","17.58","nan","nan","0","nan","0.4","0","35","nan","nan","nan","nan","0.7","nan","nan","nan","0","nan","nan","0.2","nan","nan","nan","36.15","nan","nan","nan","39.2","5.4","nan","0","nan","nan","nan","0","nan","nan","0","0","nan","0","0","nan","nan","0","0","0","nan","0","44.61","0","nan","0.6","0","0","0","0","nan","0","nan","0","0","0.3","0","0.08","nan","0","nan","0","nan","0","0.39","nan","nan","0","nan","0.01","0","0.78","nan","nan","nan","nan","0.02","nan","nan","nan","0","nan","nan","0","nan","nan","nan","0.8","nan","nan","nan","0.87","0.12","nan","0","nan","nan","nan","0","nan","0","0","nan","nan","0","0","nan","0","0","nan","0","nan","0","0.99","0","nan","14.03","0","0","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","44","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","78","nan"
